年份,工业企业负债合计,轻工业企业负债合计,重工业企业负债合计,大型工业企业负债合计,中型工业企业负债合计,小型工业企业负债合计,内资工业企业负债合计,国有工业企业负债合计,集体工业企业负债合计,股份合作工业企业负债合计,联营工业企业负债合计,国有联营工业企业负债合计,集体联营工业企业负债合计,国有与集体联营工业企业负债合计,其他联营工业企业负债合计,有限责任公司工业企业负债合计,国有独资公司工业企业负债合计,其他有限责任公司工业企业负债合计,股份有限公司工业企业负债合计,私营工业企业负债合计,私营独资工业企业负债合计,私营合伙工业企业负债合计,私营有限责任公司工业企业负债合计,私营股份有限公司工业企业负债合计,其他工业企业负债合计,港、澳、台商投资工业企业负债合计,合资经营(港或澳、台资)工业企业负债合计,合作经营(港或澳、台资)工业企业负债合计,港澳台商独资经营工业企业负债合计,港澳台商投资股份有限公司工业企业负债合计,其他港澳台商投资工业企业负债合计,外商投资工业企业负债合计,中外合资经营工业企业负债合计,中外合作经营工业企业负债合计,外资工业企业负债合计,外商投资股份有限公司工业企业负债合计,其他外商投资工业企业负债合计
2009,285732.81,60861.09949,224871.70847,113176.47133,93146.93377,79409.40286,215804.03842,42020.68308,2707.13433,1375.53292,1094.50765,923.17785,53.26377,65.22283,52.8432,86347.28768,22852.94783,63494.33985,30886.68571,50495.45311,5536.76523,900.10551,40657.01641,3401.56596,876.75394,25347.16951,10801.36863,750.93219,12390.23476,1404.63393,,44581.60003,21588.57727,1084.62828,19868.65309,2039.74139,
2008,248899.38,55064.07919,193835.30412,95189.53776,82226.79742,71483.04813,186068.37938,39009.84115,2758.97093,1379.681,1051.78075,835.14407,48.5479,89.24026,78.84852,71916.8682,17188.37963,54728.48857,26475.62792,42825.29642,4883.68102,801.41075,34519.44863,2620.75602,650.31301,22015.01049,8928.56677,701.03571,11324.64803,1060.75998,,40815.99344,19260.59705,1157.74749,18538.92256,1858.72634,
2007,202913.68,48460.50077,154453.18376,79152.0643,68008.45965,55753.16058,147745.46449,29398.07307,3141.92265,1360.23699,1125.70271,857.55054,57.22232,123.36135,87.5685,60981.316,17406.38203,43574.93397,20245.12518,31120.19357,3177.79399,612.94228,25581.41958,1748.03772,372.89432,19539.95669,8448.90243,822.17153,9208.99703,1059.8857,,35628.26335,15820.01641,1419.26136,16628.91665,1760.06893,
2006,167322.23,41457.81,125864.41,64377.79,56638.75,46305.69,123923.67,26699.2,3148.1,1242.76,955.52,711.49,73.26,98.39,72.37,50646.4,15510.41,35135.99,17066.26,23946.79,2668.51,512.91,19461.69,1303.68,218.62,15379.33,6537.79,735.08,7328.8,777.65,,28019.24,12689.81,989.35,13077.13,1262.96,
2005,141509.84,36705.49304,104804.34938,54434.73663,48094.95038,38980.15541,105050.47493,25285.51556,3149.73565,1286.50097,899.06993,653.97094,57.07706,110.04474,77.97719,41103.7331,13270.92851,27832.80459,15009.2686,18038.87193,2024.20638,388.34256,14638.77786,987.54513,277.77919,13644.57332,6021.16288,710.16417,6202.49694,710.74933,,22814.79417,10476.50523,1098.18355,10271.11698,968.98841,
2004,124847.41,33791.65,91055.76,43994.83,43703.38,37149.2,93569.07,25584.02,3280.21,1223.77,761.88,548.79,47.04,101.95,64.1,34689.61,10685.26,24004.35,13446.15,14529.31,1616.94,316.04,11750.77,845.56,54.11,11865.61,5490.2,738.95,5021.79,614.67,,19412.73,9010.27,946.86,8385.4,1070.2,
2003,99527.97,28310.37254,71217.59514,36601.60949,36082.909,26843.44919,77764.90573,26232.2656,4242.3862,1578.41064,614.86714,321.53029,75.17203,153.00058,65.16424,24902.69109,9215.30179,15687.3893,11329.81387,8781.2429,1645.71721,297.04496,6266.79393,571.6868,83.22829,8990.77288,4316.5349,773.40406,3410.96472,489.8692,,12772.28907,6794.79399,683.33713,4698.62516,595.53279,
2002,85857.42,26315.18606,59542.23316,47543.49021,12329.52784,25984.40117,68721.38664,25447.31034,4667.52762,1580.36123,653.85626,278.97033,70.40281,216.82755,87.65557,20990.28576,9394.70744,11595.57832,10139.80633,5192.26193,1180.95078,217.19524,3449.5784,344.53751,49.97717,7526.21014,3791.41171,811.37478,2499.05131,424.37234,,9609.82244,5293.37822,565.85276,3296.24405,454.34741,
2001,79843.42,24732.31884,55111.10203,44541.00164,11797.64876,23504.77047,64284.51395,26333.03148,5148.24221,1486.4265,669.75724,286.36857,81.73135,213.06785,88.58947,17820.05579,8535.76006,9284.29573,9249.90463,3527.39755,926.40132,169.83076,2182.78241,248.38306,49.69855,7083.94115,3680.45945,804.19735,2163.52477,435.75958,,8474.96577,5107.0282,538.16689,2504.1065,325.66418,
2000,76743.84,24083.121,52660.71936,41019.98441,11063.88064,24659.97531,62084.92189,30403.94478,6317.12946,1546.24524,766.60168,331.19122,103.91423,257.13943,74.3568,13349.26228,6956.81616,6392.44612,7377.6822,2208.83249,790.93407,145.88718,1148.15304,123.8582,115.22376,6861.55861,3853.8927,814.88113,1807.42853,385.35625,,7797.35986,5000.96571,448.44298,2097.71478,250.23639,
