年份,工业企业销售费用,轻工业企业销售费用,重工业企业销售费用,大型工业企业销售费用,中型工业企业销售费用,小型工业企业销售费用,内资工业企业销售费用,国有工业企业销售费用,集体工业企业销售费用,股份合作工业企业销售费用,联营工业企业销售费用,国有联营工业企业销售费用,集体联营工业企业销售费用,国有与集体联营工业企业销售费用,其他联营工业企业销售费用,有限责任公司工业企业销售费用,国有独资公司工业企业销售费用,其他有限责任公司工业企业销售费用,股份有限公司工业企业销售费用,私营工业企业销售费用,私营独资工业企业销售费用,私营合伙工业企业销售费用,私营有限责任公司工业企业销售费用,私营股份有限公司工业企业销售费用,其他工业企业销售费用,港、澳、台商投资工业企业销售费用,合资经营(港或澳、台资)工业企业销售费用,合作经营(港或澳、台资)工业企业销售费用,港澳台商独资经营工业企业销售费用,港澳台商投资股份有限公司工业企业销售费用,其他港澳台商投资工业企业销售费用,外商投资工业企业销售费用,中外合资经营工业企业销售费用,中外合作经营工业企业销售费用,外资工业企业销售费用,外商投资股份有限公司工业企业销售费用,其他外商投资工业企业销售费用
2009,14137.42082,6379.01436,7758.40646,4568.50552,4773.75002,4795.16528,9171.6092,749.29426,248.45691,85.67117,21.00569,10.99149,4.55444,2.26296,3.1968,2929.07133,385.87319,2543.19814,1539.59225,3539.42555,666.51228,122.25676,2504.76145,245.89506,59.09204,1469.61916,498.12257,29.48631,865.00348,77.0068,,3496.19246,1665.48147,62.54699,1585.59357,182.57043,
2008,12893.31007,5584.90992,7308.40015,4150.17776,4338.47327,4404.65904,8034.61865,622.95021,233.01631,81.20159,26.0992,16.06173,4.20457,3.05671,2.77619,2642.53457,337.34687,2305.1877,1313.30992,3076.144,592.78455,103.7138,2178.96983,200.67582,39.36285,1449.99456,488.29765,28.16211,873.80798,59.72682,,3408.69686,1622.9755,84.72175,1540.78593,160.21368,
2007,10728.14583,4675.35025,6052.79558,3671.10561,3696.50453,3360.53569,6522.13466,578.7804,240.55498,76.06318,24.32628,12.24049,3.47298,3.46051,5.1523,2362.43108,388.91611,1973.51497,1079.0442,2136.11339,358.69997,82.47838,1561.73462,133.20042,24.82115,1155.33526,428.45378,33.84076,628.01145,65.02927,,3050.67591,1429.95947,149.89145,1332.76665,138.05834,
2006,8592.70063,3919.0,4673.7,2753.72,3130.88,2708.1,5223.04,519.45,238.27,62.75,24.41,10.76,5.21,3.22,5.22,1890.4,319.38,1571.01,859.86,1610.11186,280.53,65.43,1170.91,93.23,17.8,958.96,358.78,35.58,513.03,51.58,,2410.7,1158.68,127.74,1018.74,105.54,
2005,7209.40978,3433.73986,3775.66992,2279.05831,2670.19037,2260.1611,4390.76738,503.48791,230.00379,66.4723,21.32448,8.93518,3.06789,3.42752,5.89389,1577.39267,298.77026,1278.62241,788.40462,1185.47106,202.88534,45.57442,862.9877,74.0236,18.21055,843.82799,331.39076,34.68279,436.58277,41.17167,,1974.81441,974.7506,141.02924,774.13356,84.90101,
2004,6045.35,2896.87,3148.47,1748.23,2332.72,1964.41,3619.1,441.34,205.99,66.63,18.42,8.32,2.84,3.19,4.07,1241.61,253.81,987.8,746.64,895.78,140.74,30.97,670.3,53.78,2.68,726.7,311.59,34.73,340.81,39.55,,1699.55,856.91,133.32,626.3,83.01,
2003,4948.54182,2441.03173,2507.51009,1533.12467,1926.19648,1489.22067,3151.69258,524.39082,303.7133,94.43097,24.62113,9.2056,4.91682,6.07439,4.42432,937.19538,275.03801,662.15737,624.93813,634.20676,151.79611,29.13185,396.14174,57.13706,8.19609,596.47302,267.92079,33.97132,267.99412,26.58679,,1200.37622,682.57122,90.37033,383.97433,43.46034,
2002,4055.26311,2128.09062,1927.17249,1932.87476,572.22337,1550.16498,2621.21972,481.11274,311.34575,105.70201,22.57732,7.00935,5.00008,7.06202,3.50587,749.38248,238.27458,511.1079,541.27579,403.85188,110.42864,22.39393,241.28415,29.74516,5.97175,510.64168,241.03417,31.98679,213.85981,23.76091,,923.40171,546.83247,61.1845,279.30531,36.07943,
2001,3502.77497,1863.01906,1639.75591,1677.38048,525.14356,1300.25093,2267.23354,462.67068,333.09677,98.32622,27.22154,9.11785,7.2953,6.67023,4.13816,595.1706,217.38332,377.78728,469.81409,277.92056,82.87422,17.17915,155.52422,22.34297,3.01308,458.74687,220.34545,33.32395,185.44636,19.63111,,776.79456,475.51426,49.67359,228.9757,22.63101,
2000,2985.79203,1617.04552,1368.74651,1312.55402,404.82603,1268.41198,1940.9556,481.8819,398.40681,87.38393,24.01638,5.13251,8.28048,6.89336,3.71003,428.83153,165.71574,263.11579,335.94433,178.42333,64.26769,13.60212,86.14701,14.40651,6.06739,368.27754,201.49824,31.5096,115.42015,19.84955,,676.55889,440.22943,40.05398,177.94261,18.33287,
