年份,工业企业存货,轻工业企业存货,重工业企业存货,大型工业企业存货,中型工业企业存货,小型工业企业存货,内资工业企业存货,国有工业企业存货,集体工业企业存货,股份合作工业企业存货,联营工业企业存货,国有联营工业企业存货,集体联营工业企业存货,国有与集体联营工业企业存货,其他联营工业企业存货,有限责任公司工业企业存货,国有独资公司工业企业存货,其他有限责任公司工业企业存货,股份有限公司工业企业存货,私营工业企业存货,私营独资工业企业存货,私营合伙工业企业存货,私营有限责任公司工业企业存货,私营股份有限公司工业企业存货,其他工业企业存货,港、澳、台商投资工业企业存货,合资经营(港或澳、台资)工业企业存货,合作经营(港或澳、台资)工业企业存货,港澳台商独资经营工业企业存货,港澳台商投资股份有限公司工业企业存货,其他港澳台商投资工业企业存货,外商投资工业企业存货,中外合资经营工业企业存货,中外合作经营工业企业存货,外资工业企业存货,外商投资股份有限公司工业企业存货,其他外商投资工业企业存货
2009,56724.80381,17596.29997,39128.50384,20700.70512,18023.76045,18000.33824,40255.07077,5208.03253,588.05021,304.8077,151.90411,108.98128,12.57894,16.24733,14.09656,15254.6342,3660.51356,11594.12064,6268.74911,12275.98271,1303.49122,217.14369,9878.8776,876.4702,202.9102,6178.75984,2225.75049,171.43041,3425.03541,356.54353,,10290.9732,4582.39914,249.71913,5077.39911,381.45582,
2008,54108.55561,16601.095,37507.46061,19094.44722,17731.15281,17282.95558,37307.33664,4941.59611,639.63248,323.62534,175.75926,121.38736,10.99136,21.15297,22.22757,14026.31772,3077.41575,10948.90197,5824.08745,11220.3335,1247.31632,206.60185,9017.09208,749.32325,155.98478,6055.25963,2184.99665,176.73041,3440.84122,252.69135,,10745.95934,4734.84039,245.51277,5346.49619,419.10999,
2007,45288.65329,14833.99387,30454.65942,16444.6786,15394.93,13449.04469,30162.43105,4267.7465,781.38471,343.41835,163.63987,102.67289,11.63834,23.80696,25.52168,11751.84012,2998.49135,8753.34877,4616.77693,8122.13787,842.1983,163.76765,6639.74926,476.42266,115.4867,5553.41099,1982.95477,217.11763,3041.40552,311.93307,,9572.81125,4222.65547,276.50831,4687.37182,386.27565,
2006,36999.26349,12345.45,24653.81,13198.51,12590.39,11210.36,24831.32,4030.98,751.66,320.64,157.08,97.78,13.09,25.52,20.68,9465.22,2306.08,7159.14,3856.69,6198.76881,719.44,137.83,4989.86,351.64,50.29,4557.58,1666.59,205.39,2505.77,179.82,,7610.36,3363.95,226.12,3729.11,291.19,
2005,31379.07229,10729.11389,20649.9584,11307.50479,10572.02101,9499.54649,21285.70697,3822.75767,764.10198,323.64023,149.94313,92.67946,12.80648,26.73878,17.71841,8032.06434,2097.60482,5934.45952,3424.37563,4709.31566,532.70766,108.60995,3805.25045,262.7476,59.50833,3975.17901,1499.69441,181.92509,2054.27314,239.28637,,6118.18631,2860.29308,234.64986,2792.23475,231.00862,
2004,27515.29,9684.17,17831.12,8879.45,9535.05,9100.79,18513.22,3583.67,809.29,317.71,128.58,71.98,11.59,26.06,18.95,6538.19,1555.68,4982.51,3260.56,3860.66,437.81,91.97,3108.55,222.33,14.56,3527.83,1419.93,187.36,1753.17,167.37,,5474.23,2623.51,229.87,2350.72,270.14,
2003,20756.631,7819.65371,12936.97729,7089.1813,7418.16501,6249.28469,14742.46905,3843.53512,1041.62049,414.54271,145.38006,63.34893,19.39279,43.36023,19.27811,4677.51119,1486.22076,3191.29043,2305.7787,2291.8592,449.68681,86.2064,1597.64369,158.3223,22.24158,2593.85689,1130.23032,204.88546,1134.96383,123.77728,,3420.30506,1855.07296,163.81411,1276.25388,125.16411,
2002,17860.41041,7301.18435,10559.22606,8727.20066,2612.71161,6520.49814,13152.51391,3813.38362,1235.60215,425.40537,151.40703,53.85942,20.82539,61.09921,15.62301,3910.49836,1524.65276,2385.8456,2094.47803,1506.35339,359.18512,64.35942,975.50584,107.30301,15.38596,2176.97325,1010.3679,202.26487,858.22394,106.11654,,2530.92325,1437.8276,123.62048,879.51988,89.95529,
2001,16934.82049,6953.96112,9980.85937,8430.96041,2576.8142,5927.04588,12647.12201,4175.77915,1426.70733,430.44313,147.85771,46.98588,23.23634,61.64704,15.98845,3411.51223,1444.22917,1967.28306,1946.28732,1094.21101,299.89883,51.06706,664.35614,78.88898,14.32413,2000.8373,987.15786,187.68603,723.96892,102.02449,,2286.86118,1430.24495,116.15645,675.57505,64.88473,
2000,16034.06921,6425.137,9608.93221,7629.53537,2288.73385,6115.79999,11955.68094,4677.09328,1780.61383,438.67647,168.33877,40.75806,33.79932,72.74606,21.03533,2619.82333,1311.20913,1308.6142,1568.17936,683.84774,241.781,44.58591,357.28578,40.19505,19.10816,1967.88205,1046.25352,196.32966,585.33513,139.96374,,2110.50622,1361.58986,112.34085,571.77633,64.79918,
