年份,工业企业应收账款净额,轻工业企业应收账款净额,重工业企业应收账款净额,大型工业企业应收账款净额,中型工业企业应收账款净额,小型工业企业应收账款净额,内资工业企业应收账款净额,国有工业企业应收账款净额,集体工业企业应收账款净额,股份合作工业企业应收账款净额,联营工业企业应收账款净额,国有联营工业企业应收账款净额,集体联营工业企业应收账款净额,国有与集体联营工业企业应收账款净额,其他联营工业企业应收账款净额,有限责任公司工业企业应收账款净额,国有独资公司工业企业应收账款净额,其他有限责任公司工业企业应收账款净额,股份有限公司工业企业应收账款净额,私营工业企业应收账款净额,私营独资工业企业应收账款净额,私营合伙工业企业应收账款净额,私营有限责任公司工业企业应收账款净额,私营股份有限公司工业企业应收账款净额,其他工业企业应收账款净额,港、澳、台商投资工业企业应收账款净额,合资经营(港或澳、台资)工业企业应收账款净额,合作经营(港或澳、台资)工业企业应收账款净额,港澳台商独资经营工业企业应收账款净额,港澳台商投资股份有限公司工业企业应收账款净额,其他港澳台商投资工业企业应收账款净额,外商投资工业企业应收账款净额,中外合资经营工业企业应收账款净额,中外合作经营工业企业应收账款净额,外资工业企业应收账款净额,外商投资股份有限公司工业企业应收账款净额,其他外商投资工业企业应收账款净额
2009,51399.82198,13273.52861,38126.29337,14320.16613,17888.24579,19191.41006,30538.96788,3048.49051,631.90326,329.27494,90.27722,53.75768,12.22362,11.33072,12.9652,10718.79449,1925.24445,8793.55004,3645.10336,11944.17718,1403.01022,242.54704,9553.12683,745.49309,130.94692,7717.72146,2756.68223,169.77757,4545.79169,245.46997,,13143.13264,5097.92129,260.83346,7413.19807,371.17982,
2008,43933.81631,11956.481,31977.33531,11780.86962,14899.03079,17253.9159,26810.25746,2752.94676,681.37256,320.15451,102.71104,54.9742,13.41176,16.40355,17.92153,9179.40058,1510.99624,7668.40434,3275.81781,10375.75546,1320.58911,234.68587,8229.9162,590.56428,122.09874,6111.07278,1822.77379,162.08895,3962.86614,163.3439,,11012.48607,4206.4356,280.80925,6199.75053,325.49069,
2007,38690.57805,10856.65558,27833.92247,10880.69003,13854.45996,13955.42806,21905.29403,2411.07058,782.77486,369.73496,112.48717,56.03897,13.47511,20.58555,22.38754,8111.2565,1591.96111,6519.29539,2555.98013,7500.20919,907.62173,173.65047,6042.07468,376.86231,61.78064,5674.56287,1869.35881,227.75644,3403.68427,173.76335,,11110.72115,3972.84257,311.91728,6406.1168,419.8445,
2006,31692.21272,9180.61,22511.6,8892.36,11313.83,11486.02,18036.33,2199.94,774.96,361.27,100.92,42.84,18.1,21.26,18.72,6662.2,1186.27,5475.93,2154.43,5737.66447,735.57,147.73,4582.45,271.91,44.95,4662.94,1514.67,202.0,2808.01,138.26,,8992.94,3272.08,255.34,5168.67,296.86,
2005,26646.17931,7879.1939,18766.98541,7574.09628,9444.70877,9627.37426,15224.18939,2202.22006,768.67298,359.908,86.26251,29.72276,14.80954,21.87436,19.85585,5463.83713,1125.77383,4338.0633,1963.17411,4333.84824,554.14115,110.94833,3462.18654,206.57222,46.26636,4043.03539,1307.51118,183.20901,2412.35222,139.96298,,7378.95453,2735.79304,290.26624,4110.81289,242.08236,
2004,23084.41,7031.5,16052.91,5547.94,8454.77,9081.7,13644.61,2240.72,795.79,352.73,95.76,43.24,12.44,24.08,16.0,4548.07,873.6,3674.47,1981.05,3619.05,478.75,96.23,2865.47,178.61,11.44,3401.82,1206.07,187.52,1898.0,110.22,,6037.98,2446.39,219.32,3157.54,214.73,
2003,18360.38549,5911.6146,12448.77089,5025.15234,6938.89304,6396.34011,11559.70575,2756.65548,930.23405,449.3042,119.07594,43.85875,17.80501,40.53606,16.87612,3485.75178,1076.01383,2409.73795,1650.17916,2152.81553,448.26715,84.42807,1492.65561,127.4647,15.68961,2703.85624,1082.39126,203.99782,1300.17547,117.29169,,4096.8235,1928.32845,147.8562,1881.39331,139.24554,
2002,16036.79447,5382.67876,10654.11571,7412.39703,2345.2406,6279.15684,10922.12946,3260.60824,1027.03471,443.08476,131.48538,49.32603,19.80474,49.31452,13.04009,3132.83061,1218.15064,1914.67997,1582.08152,1333.56714,310.18338,62.12221,873.79398,87.46757,11.4371,2141.75479,919.19247,199.44982,931.59427,91.51823,,2972.91022,1503.47453,127.73203,1229.92678,111.77688,
2001,14831.40462,4875.21753,9956.18709,7367.12445,2132.72476,5331.55541,10479.47075,3565.71607,1087.51503,416.69355,127.81099,44.24725,20.45943,50.90065,12.20366,2838.03897,1298.06848,1539.97049,1556.84152,875.59184,240.04316,44.26135,537.8123,53.47503,11.26278,1853.98764,832.07715,168.01329,750.2308,103.6664,,2497.94623,1516.40126,113.37445,810.6171,57.55342,
2000,14789.8028,4721.33305,10068.46975,7228.40473,2009.86767,5551.5304,10743.88346,4411.49382,1355.56348,421.51057,146.7573,38.89871,27.35845,56.59601,23.90413,2316.61595,1194.65387,1121.96208,1516.86249,556.91458,201.73916,35.73895,287.2238,32.21267,18.16527,1773.39206,880.07194,165.06276,625.49373,102.76363,,2272.52728,1476.2375,103.05977,642.67558,50.55443,
