年份,工业企业固定资产原价合计,轻工业企业固定资产原价合计,重工业企业固定资产原价合计,大型工业企业固定资产原价合计,中型工业企业固定资产原价合计,小型工业企业固定资产原价合计,内资工业企业固定资产原价合计,国有工业企业固定资产原价合计,集体工业企业固定资产原价合计,股份合作工业企业固定资产原价合计,联营工业企业固定资产原价合计,国有联营工业企业固定资产原价合计,集体联营工业企业固定资产原价合计,国有与集体联营工业企业固定资产原价合计,其他联营工业企业固定资产原价合计,有限责任公司工业企业固定资产原价合计,国有独资公司工业企业固定资产原价合计,其他有限责任公司工业企业固定资产原价合计,股份有限公司工业企业固定资产原价合计,私营工业企业固定资产原价合计,私营独资工业企业固定资产原价合计,私营合伙工业企业固定资产原价合计,私营有限责任公司工业企业固定资产原价合计,私营股份有限公司工业企业固定资产原价合计,其他工业企业固定资产原价合计,港、澳、台商投资工业企业固定资产原价合计,合资经营(港或澳、台资)工业企业固定资产原价合计,合作经营(港或澳、台资)工业企业固定资产原价合计,港澳台商独资经营工业企业固定资产原价合计,港澳台商投资股份有限公司工业企业固定资产原价合计,其他港澳台商投资工业企业固定资产原价合计,外商投资工业企业固定资产原价合计,中外合资经营工业企业固定资产原价合计,中外合作经营工业企业固定资产原价合计,外资工业企业固定资产原价合计,外商投资股份有限公司工业企业固定资产原价合计,其他外商投资工业企业固定资产原价合计
2009,278541.08679,56197.92036,222343.16643,118297.19415,86956.00669,73287.88595,213033.55891,49436.87938,2628.94007,1189.78722,1068.92672,902.42846,61.68725,64.03559,40.77542,79543.1696,21842.7964,57700.3732,36122.77182,42366.46467,6675.53137,1073.49581,31732.44695,2884.99054,676.61943,22352.65037,8924.04346,1091.31141,10934.65509,1402.64041,,43154.87751,19205.58806,1245.70383,20098.9617,2604.62392,
2008,245352.79871,50658.46609,194694.33262,102155.68846,77868.90063,65328.20962,184912.11935,50580.53693,2550.57007,1100.18889,1023.0968,824.6654,58.62643,79.01251,60.79246,63487.98255,16003.6723,47484.31025,31255.00987,34437.22229,5451.97886,895.31319,25920.56279,2169.36745,477.51195,20676.40555,7930.137,966.34701,10651.26082,1128.66072,,39764.27381,18270.28295,1263.83575,17886.78188,2343.37323,
2007,198739.26528,41576.93483,157162.33045,88531.09608,62779.41347,47428.75573,149195.67231,38146.1198,2787.09065,1056.37054,1229.69443,992.5233,52.29758,100.71301,84.16054,57010.80565,17029.99906,39980.80659,26048.26239,22383.18075,3143.86649,611.39237,17238.97368,1388.94821,534.1481,17513.73219,7326.5604,987.28616,8016.48686,1183.39877,,32029.86078,13882.69934,1502.2043,14336.09748,2308.85966,
2006,168850.2,36382.06,132468.14,74710.69,53787.22,40352.3,127984.66,34062.6,2612.54,890.58,988.72,784.11,57.55,81.83,65.23,49133.87,17076.53,32057.33,22789.58,17316.09,2466.02,498.1,13318.77,1033.2,190.68,14500.2,5624.48,1031.89,6795.13,1048.71,,26365.34,11700.42,1347.24,11478.12,1839.56,
2005,143143.62992,32055.86988,111087.76004,63696.94362,45985.47322,33461.21308,108876.8068,31262.54309,2505.68657,924.47223,846.59832,657.07875,49.14021,93.5957,46.78366,40729.4923,14917.32905,25812.16325,19392.06744,12983.31865,1821.02857,378.6198,9998.80653,784.86375,232.6282,12896.24332,5558.91371,975.94909,5376.34299,985.03753,,21370.5798,9690.59628,1316.95101,8609.80267,1753.22984,
2004,125761.85,28567.57,97194.28,53793.16,41995.74,29972.95,96373.94,29389.0,2453.81,924.93,750.76,568.42,43.5,94.72,44.11,34407.22,12259.61,22147.61,18399.93,9992.56,1331.49,280.81,7747.45,632.81,55.73,11404.34,5013.98,986.35,4404.22,999.79,,17983.58,8260.43,1056.03,6933.18,1733.94,
2003,105557.08953,24412.35101,81144.73852,46363.99648,36033.76349,23159.32956,83738.15668,30210.52215,3329.27684,1179.09092,591.83282,341.21999,67.42853,127.96598,55.21832,24962.87749,9938.73657,15024.14092,17175.48742,6228.8548,1338.46591,258.82117,4233.75599,397.81173,60.21424,9359.24067,4467.10451,1000.06372,3172.86121,719.21123,,12459.69218,6364.68533,820.87686,4171.15986,1102.97013,
2002,93887.94508,23176.52358,70711.4215,60067.07442,11539.00763,22281.86303,75161.06896,28226.44506,3599.37028,1206.74747,684.99473,342.43003,63.63447,178.91464,100.01559,21815.84964,9844.87399,11970.97565,15631.17782,3959.95171,985.12907,184.82446,2526.67221,263.32597,36.53225,8392.7286,4190.60363,1009.73424,2587.91576,604.47497,,10334.14752,5621.08746,709.37677,3209.17367,794.50962,
2001,86293.09777,21379.99103,64913.10674,55443.34136,10702.37322,20147.38319,69592.80119,28286.53094,3934.07656,1135.80817,739.8675,391.19209,70.11976,180.1626,98.39305,18375.15136,8757.43934,9617.71202,14348.88231,2741.0564,772.82063,144.60247,1636.64486,186.98844,31.42795,7661.9881,3856.52373,1013.64467,2259.48813,532.33157,,9038.30848,5270.22828,657.72508,2592.67364,517.68148,
2000,78646.29787,20328.98453,58317.31334,48776.38992,9571.75988,20298.14807,64327.99304,32701.95493,4743.9606,1162.19019,763.33515,424.96056,89.42474,193.44807,55.50178,12686.17156,6943.51764,5742.65392,10535.88762,1651.37247,628.4738,116.19078,806.75038,99.95751,83.12052,6808.11701,3750.88264,897.14181,1723.64723,436.44533,,7510.18782,4778.16238,488.69834,1982.87212,260.45498,
