年份,工业企业流动资产合计,轻工业企业流动资产合计,重工业企业流动资产合计,大型工业企业流动资产合计,中型工业企业流动资产合计,小型工业企业流动资产合计,内资工业企业流动资产合计,国有工业企业流动资产合计,集体工业企业流动资产合计,股份合作工业企业流动资产合计,联营工业企业流动资产合计,国有联营工业企业流动资产合计,集体联营工业企业流动资产合计,国有与集体联营工业企业流动资产合计,其他联营工业企业流动资产合计,有限责任公司工业企业流动资产合计,国有独资公司工业企业流动资产合计,其他有限责任公司工业企业流动资产合计,股份有限公司工业企业流动资产合计,私营工业企业流动资产合计,私营独资工业企业流动资产合计,私营合伙工业企业流动资产合计,私营有限责任公司工业企业流动资产合计,私营股份有限公司工业企业流动资产合计,其他工业企业流动资产合计,港、澳、台商投资工业企业流动资产合计,合资经营(港或澳、台资)工业企业流动资产合计,合作经营(港或澳、台资)工业企业流动资产合计,港澳台商独资经营工业企业流动资产合计,港澳台商投资股份有限公司工业企业流动资产合计,其他港澳台商投资工业企业流动资产合计,外商投资工业企业流动资产合计,中外合资经营工业企业流动资产合计,中外合作经营工业企业流动资产合计,外资工业企业流动资产合计,外商投资股份有限公司工业企业流动资产合计,其他外商投资工业企业流动资产合计
2009,223038.68,61815.73979,161222.94079,80088.78407,72275.31011,70674.5864,153956.5491,20011.68569,2648.21943,1179.3408,488.05944,333.03468,48.73512,48.28784,58.0018,59117.99702,14578.65843,44539.33859,22230.57207,47550.43428,5508.1034,920.99185,37849.09535,3272.24368,730.24037,24971.98684,9492.69444,761.2101,13480.51519,1237.56711,,44110.14464,20489.14814,973.56756,20872.76818,1774.66076,
2008,195681.75,54736.47749,140945.26763,68418.88232,64479.88592,62782.97688,135341.56366,19645.11374,2690.69972,1210.45233,583.85393,398.71725,46.07408,73.29155,65.77105,50371.58395,11643.91572,38727.66823,19704.57253,40572.41596,4913.88606,838.14165,32282.91243,2537.47582,562.8715,21448.97039,7912.11861,675.30348,11992.1997,869.3486,,38891.21107,17394.32895,987.99939,18873.06774,1635.81499,
2007,163259.62,47727.69638,115531.92016,58340.7562,55353.6936,49565.16674,109478.104,16157.16741,3108.36223,1393.80516,621.82678,386.51051,47.14209,89.35974,98.81444,43021.74791,11158.9325,31862.81541,15386.36358,29412.55997,3298.2339,635.09053,23842.97271,1636.26283,376.27096,19177.72152,7402.83675,808.51027,10009.88487,956.48963,,34603.79102,15157.888,1178.91708,16865.92379,1401.06215,
2006,132310.12,39638.91,92671.21,47397.01,44652.07,40261.05,89635.19,14771.68,3016.31,1202.53,524.99,287.94,66.51,81.55,88.98,35219.23,9675.03,25544.2,12675.74,22035.64,2645.11,513.61,17686.97,1189.96,189.06,15351.62,5900.29,723.18,8001.66,726.5,,27323.31,11967.25,840.39,13444.19,1071.48,
2005,111031.41,34148.20235,76883.20918,40385.47537,37238.19879,33407.73737,75727.44459,14131.9621,2972.11444,1289.00884,458.77935,245.1658,51.3083,86.95921,75.34604,28915.26711,8433.35347,20481.91364,11316.81268,16426.00543,1920.3934,394.45609,13201.61113,909.54481,217.49464,13137.83244,5204.64965,655.8564,6602.57773,674.74866,,22166.1345,10024.97492,905.71506,10364.87926,870.56526,
2004,97183.74,30422.23,66761.51,32585.66,33179.46,31418.62,66568.6,14040.37,2990.13,1133.76,443.66,250.28,44.93,84.5,63.95,24064.07,6912.1,17151.97,10771.74,13080.46,1503.69,309.89,10491.05,775.84,44.4,11487.11,4927.49,671.38,5319.38,568.86,,19128.04,9196.07,776.91,8228.74,926.32,
2003,76163.74,25133.24517,51030.49977,27443.66265,26824.71732,21895.36497,54673.90181,15334.70396,3635.90222,1454.09775,500.87235,232.70832,65.05797,138.34219,64.76387,17123.30069,6190.17467,10933.12602,8726.43996,7838.48347,1503.8712,281.72549,5511.16981,541.71697,60.10141,8744.61773,3961.29702,689.93937,3638.56502,454.81632,,12745.2254,6956.20592,571.31447,4713.01416,504.69085,
2002,63468.46,22632.5554,40835.8997,33029.24073,8882.53265,21556.68172,47231.41021,14791.58473,3928.62064,1420.31747,503.4503,193.98422,81.15524,179.80345,48.50739,13916.38126,5961.06186,7955.3194,7942.59109,4686.53275,1071.2928,198.07241,3109.62284,307.5447,41.93197,7001.44371,3307.26451,665.19176,2661.48258,367.50486,,9235.60118,5228.24244,443.84766,3148.41256,415.09852,
2001,57804.97,20691.92689,37113.04393,30801.89814,8300.77504,18702.29764,43775.21628,15553.20289,4280.87172,1301.06952,480.03418,177.94962,70.08054,176.22334,55.78068,11641.2831,5473.95137,6167.33173,7335.30774,3130.72527,829.9183,147.99248,1936.4445,216.36999,52.72186,6238.3952,3060.22605,587.99724,2207.27672,382.89519,,7791.35934,4788.67183,400.15211,2340.27849,262.25691,
2000,54338.15,19324.45969,35013.68926,27915.15786,7367.70622,19055.28487,41488.60996,17692.14766,5182.29594,1291.08663,520.54728,150.5879,94.93323,206.71883,68.30732,8673.84697,4601.46811,4072.37886,6146.36013,1910.75382,675.48195,127.22218,997.99416,110.05553,71.57153,5892.08819,3157.82672,572.50008,1750.1427,411.61869,,6957.4508,4528.14611,349.84799,1847.2486,232.2081,
