年份,工业企业管理费用,轻工业企业管理费用,重工业企业管理费用,大型工业企业管理费用,中型工业企业管理费用,小型工业企业管理费用,内资工业企业管理费用,国有工业企业管理费用,集体工业企业管理费用,股份合作工业企业管理费用,联营工业企业管理费用,国有联营工业企业管理费用,集体联营工业企业管理费用,国有与集体联营工业企业管理费用,其他联营工业企业管理费用,有限责任公司工业企业管理费用,国有独资公司工业企业管理费用,其他有限责任公司工业企业管理费用,股份有限公司工业企业管理费用,私营工业企业管理费用,私营独资工业企业管理费用,私营合伙工业企业管理费用,私营有限责任公司工业企业管理费用,私营股份有限公司工业企业管理费用,其他工业企业管理费用,港、澳、台商投资工业企业管理费用,合资经营(港或澳、台资)工业企业管理费用,合作经营(港或澳、台资)工业企业管理费用,港澳台商独资经营工业企业管理费用,港澳台商投资股份有限公司工业企业管理费用,其他港澳台商投资工业企业管理费用,外商投资工业企业管理费用,中外合资经营工业企业管理费用,中外合作经营工业企业管理费用,外资工业企业管理费用,外商投资股份有限公司工业企业管理费用,其他外商投资工业企业管理费用
2009,22169.69787,6342.53413,15827.16374,7760.88242,6682.84376,7725.97169,16177.78652,2382.01695,378.29877,137.66886,59.59371,36.66705,9.95927,7.39399,5.5734,5834.01318,1516.8053,4317.20788,2368.29033,4941.54177,781.36999,153.32402,3704.89453,301.95323,76.36295,1964.34595,651.14626,62.23322,1151.65012,99.31635,,4027.5654,1735.34473,100.43315,2033.98823,157.79929,
2008,20199.81234,5751.39839,14448.41395,7071.3109,6136.18675,6992.31469,14369.04646,2367.17081,405.48032,126.84959,75.25393,50.05125,9.69176,9.62882,5.8821,5170.40018,1346.59399,3823.80619,2034.94936,4135.59893,640.95078,123.35104,3136.81145,234.48566,53.34334,1940.74362,646.3535,58.18779,1146.79148,89.41085,,3890.02226,1604.35278,104.05931,2036.77615,144.83402,
2007,15943.65841,4604.91469,11338.74372,5837.00287,4989.25277,5117.40277,11288.46199,2076.05797,336.41857,120.7712,57.15125,30.60481,6.82568,11.20037,8.52039,4282.2497,1297.52392,2984.72578,1641.55175,2734.12494,399.62303,85.16151,2102.0037,147.3367,40.13661,1532.03152,536.44677,69.84397,851.84108,73.8997,,3123.1649,1329.39422,119.33428,1541.16154,133.27486,
2006,12807.17064,3794.7,9012.47,4676.57,4045.6,4085.0,9073.83,1810.4,314.89,107.87,55.11,29.97,7.87,9.89,7.37,3521.25,1136.49,2384.76,1272.14,1971.97682,291.05,63.2,1514.18,103.54,20.21,1222.1,431.45,58.41,682.89,49.36,,2511.23,1086.64,89.81,1217.34,117.44,
2005,10950.26838,3264.05424,7686.21414,4008.12575,3502.95924,3439.18339,7865.70725,1775.4902,308.8129,116.39459,52.22111,28.42869,6.70555,10.52771,6.55916,2968.07491,1026.76337,1941.31154,1147.86093,1469.71381,210.29757,49.62671,1130.43884,79.35069,27.1388,1042.30439,388.37372,55.82594,547.92449,50.18024,,2042.25674,914.16728,90.63065,942.25739,95.20142,
2004,9820.71,3006.9,6813.81,3306.55,3223.16,3291.0,7098.11,1753.12,309.46,114.27,55.65,32.73,5.49,11.17,6.25,2540.41,844.71,1695.7,1105.0,1214.94,164.05,37.74,946.38,66.76,5.27,963.01,362.78,56.98,492.85,50.4,,1759.59,819.96,84.0,770.66,84.96,
2003,7652.46095,2363.64412,5288.81683,2823.10698,2607.62903,2221.72494,5779.10096,1762.94261,351.01982,139.98342,60.62717,28.56331,8.05703,17.14243,6.8644,1846.03919,718.80095,1127.23824,921.4038,690.3267,143.3167,28.92271,472.37112,45.71617,6.75825,708.43228,305.65434,70.09733,293.31487,39.36574,,1164.92771,635.14699,53.82489,428.90461,47.05122,
2002,6563.81718,2188.83365,4374.98353,3448.75806,925.87221,2189.18691,4971.69415,1652.735,364.4815,139.70404,57.31576,22.50417,7.31745,21.54155,5.95259,1508.63179,630.35575,878.27604,808.95182,435.29389,100.77909,20.61269,285.59635,28.30576,4.58035,620.92642,277.43656,71.70895,234.7009,37.08001,,971.19661,549.50692,46.29661,332.21168,43.1814,
2001,5854.50094,1963.2678,3891.23314,3086.40811,861.57802,1906.51481,4491.08339,1674.7217,397.77131,139.37515,55.76225,21.02901,7.81442,20.95312,5.9657,1198.4263,533.74464,664.68166,720.17266,300.43972,80.07592,15.53429,183.83319,20.99632,4.4143,532.06832,244.61617,64.42554,190.60037,32.42624,,831.34923,506.29741,41.0029,255.58799,28.46093,
2000,5414.21714,1862.59691,3551.62023,2734.97482,767.60123,1911.64109,4177.40011,1860.55562,490.63704,145.08384,56.2294,13.64861,11.21592,25.57671,5.78816,889.21378,458.23429,430.97949,545.79315,180.25772,62.59499,11.65106,95.66562,10.34605,9.62956,490.31069,247.51428,63.59689,148.94204,30.25748,,746.50634,480.93192,42.60063,192.83037,30.14342,
